longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_num,rooms_per_household,bedrooms_per_room,population_per_household,Price
-120.59,35.68,49.6,6519.0,1614.0,1147.0,464.0,6.8162,0,14.0432,0.2476,2.471,459772.19
-114.8,35.84,4.3,7495.0,1226.0,3711.0,1549.0,8.1522,2,4.8384,0.1636,2.396,430977.68
-117.0,33.03,2.5,2031.0,322.0,2346.0,764.0,5.3505,0,2.6592,0.1583,3.0722,219780.59
-118.34,33.66,9.9,4923.0,1150.0,722.0,279.0,2.1389,3,17.6252,0.2337,2.5834,246306.97
-122.78,34.36,48.4,2433.0,470.0,766.0,276.0,14.6832,1,8.7998,0.1931,2.7696,500001.0
-122.78,40.42,31.9,1554.0,338.0,1006.0,453.0,8.2948,1,3.4295,0.2175,2.2194,368912.32
-123.77,33.14,22.7,1746.0,315.0,983.0,311.0,1.623,0,5.6225,0.1806,3.1652,152799.31
-115.65,35.35,27.1,3673.0,624.0,2765.0,982.0,2.1437,0,3.74,0.1698,2.8156,180013.43
-118.31,32.64,43.3,5044.0,864.0,712.0,228.0,5.5273,0,22.0962,0.1712,3.1178,361448.37
-117.24,39.09,48.4,2714.0,460.0,1199.0,471.0,6.4479,0,5.7652,0.1696,2.5471,382851.1
-124.14,38.38,38.2,1370.0,239.0,1434.0,484.0,3.5095,0,2.8291,0.1747,2.9605,277682.29
-114.61,38.61,39.8,1284.0,221.0,1928.0,619.0,5.3002,0,2.0736,0.1721,3.1153,250275.23
-115.99,36.06,17.3,494.0,114.0,1600.0,691.0,7.1498,1,0.7152,0.2314,2.3165,305488.54
-122.22,34.5,24.8,2328.0,473.0,1505.0,706.0,6.9363,1,3.2976,0.2033,2.1321,369193.79
-122.52,39.32,46.1,2219.0,399.0,748.0,255.0,3.0201,0,8.7153,0.1797,2.9386,193545.76
-122.51,40.17,41.1,870.0,161.0,810.0,263.0,13.863,0,3.3133,0.1845,3.0823,500001.0
-121.3,33.84,35.9,2518.0,619.0,1337.0,578.0,11.1017,1,4.358,0.2458,2.3144,500001.0
-119.08,37.12,4.3,2488.0,419.0,943.0,291.0,7.7645,1,8.5511,0.1684,3.2399,449221.11
-120.01,34.88,3.0,640.0,153.0,520.0,181.0,3.1128,0,3.5391,0.2387,2.8763,164313.98
-121.43,34.12,7.7,1443.0,323.0,772.0,279.0,8.8684,2,5.1825,0.2237,2.7701,429465.14
-118.21,39.45,30.7,4848.0,1025.0,1258.0,609.0,3.1568,1,7.9655,0.2113,2.0665,214641.65
-122.95,37.6,28.4,1161.0,247.0,2837.0,1050.0,7.0679,1,1.1052,0.2124,2.7011,321361.17
-121.42,34.57,49.1,1831.0,352.0,516.0,210.0,5.9387,1,8.7203,0.1923,2.46,341700.9
-120.67,35.46,36.4,2023.0,392.0,455.0,207.0,7.4915,1,9.7898,0.1939,2.1997,388270.56
-119.77,41.64,16.0,1775.0,408.0,2015.0,945.0,4.0187,0,1.8782,0.2296,2.132,243767.6
-116.47,40.53,9.2,2928.0,677.0,791.0,252.0,9.6729,0,11.6025,0.2311,3.1337,500001.0
-122.35,40.82,44.3,3480.0,721.0,557.0,251.0,5.8364,2,13.8606,0.2071,2.2181,406645.34
-119.19,36.87,24.4,4382.0,994.0,1081.0,487.0,3.4132,2,8.9969,0.2269,2.2185,239679.75
-118.4,38.41,34.3,1452.0,335.0,534.0,254.0,7.0466,0,5.7142,0.231,2.1023,299003.67
-123.88,36.09,29.8,2609.0,478.0,6395.0,2898.0,6.0936,1,0.9003,0.1832,2.2069,240000.33
-118.25,33.27,6.5,3255.0,691.0,590.0,192.0,7.6818,0,16.9192,0.2123,3.0687,468513.25
-122.64,36.31,3.9,1664.0,322.0,1277.0,460.0,3.7162,0,3.6188,0.1936,2.7766,212674.73
-123.7,38.13,20.2,1093.0,175.0,1660.0,638.0,4.3564,1,1.7119,0.1598,2.5996,252994.86
-114.82,35.24,19.4,1999.0,430.0,2341.0,755.0,5.5138,3,2.6467,0.2148,3.0993,287158.63
-114.66,40.52,35.4,1183.0,247.0,463.0,150.0,3.6835,1,7.8874,0.2087,3.085,137098.41
-116.23,33.96,33.2,1104.0,177.0,1577.0,722.0,3.4729,1,1.5303,0.1603,2.1848,214205.57
-121.29,35.99,50.4,2109.0,331.0,295.0,98.0,2.6144,3,21.4152,0.1571,2.9935,315931.98
-123.37,33.72,44.8,1585.0,277.0,1404.0,675.0,4.9759,0,2.3461,0.175,2.0789,264141.41
-117.48,36.35,26.3,2044.0,477.0,1047.0,359.0,3.5948,0,5.7004,0.2333,2.9196,223476.13
-119.93,32.91,26.5,610.0,95.0,2001.0,797.0,3.5582,0,0.7662,0.1564,2.5115,189128.24
-123.12,35.1,35.4,1599.0,313.0,1351.0,462.0,3.6845,3,3.4581,0.196,2.9211,244621.12
-119.38,36.31,6.8,372.0,62.0,1003.0,490.0,2.4397,0,0.7587,0.1679,2.0482,197699.32
-124.0,37.04,52.0,870.0,153.0,1066.0,436.0,3.7475,2,1.9968,0.1754,2.4484,153753.22
-115.22,37.66,27.5,1699.0,386.0,342.0,141.0,5.3967,0,12.0472,0.227,2.4277,268701.83
-121.75,35.13,47.4,4227.0,994.0,572.0,271.0,3.5822,3,15.5912,0.2351,2.1087,259178.5
-117.7,37.46,50.3,2633.0,548.0,3703.0,1222.0,2.3904,1,2.1549,0.208,3.0309,122409.68
-121.22,37.33,30.7,1926.0,455.0,1292.0,410.0,7.8808,1,4.6985,0.2363,3.151,403830.11
-119.13,35.52,6.3,1389.0,327.0,1892.0,936.0,4.2979,1,1.4831,0.2357,2.0205,154775.67
-118.86,40.35,30.2,1517.0,261.0,669.0,324.0,4.5983,0,4.6867,0.1722,2.0674,262550.87
-122.49,37.67,31.5,4510.0,967.0,2201.0,772.0,3.145,3,5.8455,0.2145,2.8527,298412.06
-114.62,35.67,41.2,833.0,190.0,877.0,367.0,3.1747,1,2.2709,0.2278,2.3899,195337.11
-116.57,41.45,3.5,1088.0,224.0,347.0,152.0,5.2583,0,7.1389,0.2061,2.2795,284195.46
-114.92,40.49,24.8,3815.0,880.0,1027.0,498.0,1.8,0,7.6564,0.2306,2.0604,15000.0
-115.37,41.79,48.1,1421.0,303.0,3091.0,1057.0,1.9359,0,1.3441,0.2129,2.9236,62936.06
-118.35,39.05,51.6,7026.0,1254.0,210.0,96.0,6.1719,0,73.1308,0.1784,2.1852,500001.0
-115.09,36.1,10.8,2932.0,641.0,1976.0,663.0,5.8151,0,4.4208,0.2186,2.9787,336038.46
-123.46,35.18,45.4,4058.0,847.0,1244.0,512.0,3.141,0,7.9204,0.2088,2.4279,173139.72
-122.38,38.78,8.5,579.0,123.0,8727.0,2968.0,4.1122,0,0.1952,0.2125,2.9404,216394.29
-123.9,41.77,43.9,3796.0,606.0,6876.0,2472.0,3.633,1,1.5353,0.1595,2.7813,207802.02
-121.08,38.44,15.1,998.0,162.0,267.0,109.0,2.5629,1,9.1823,0.1626,2.4609,225472.54
-120.45,40.84,49.9,2984.0,691.0,3312.0,1205.0,4.3165,3,2.4762,0.2315,2.748,262656.73
-121.63,35.64,36.5,1402.0,271.0,802.0,401.0,4.1908,1,3.4973,0.1931,2.0023,136199.69
-116.03,36.37,21.4,2113.0,362.0,939.0,403.0,8.4589,1,5.2488,0.1715,2.3314,448424.43
-120.77,41.07,15.3,834.0,133.0,692.0,323.0,2.6599,0,2.5784,0.1593,2.1401,183057.6
-121.53,39.66,13.0,542.0,96.0,627.0,213.0,15.0,3,2.549,0.1763,2.9468,500001.0
-118.9,41.78,35.7,2009.0,361.0,3147.0,1026.0,2.7972,3,1.9581,0.1795,3.0671,225729.11
-122.94,39.83,46.7,1472.0,365.0,167.0,59.0,6.3554,1,24.7885,0.2483,2.8086,435001.89
-116.3,36.76,39.5,967.0,226.0,644.0,298.0,5.0783,0,3.2435,0.2335,2.1603,208343.71
-123.6,37.54,43.6,557.0,88.0,1884.0,640.0,15.0,0,0.8705,0.1578,2.9439,500001.0
-114.44,41.01,40.9,278.0,62.0,215.0,75.0,7.324,0,3.7093,0.2248,2.8643,378272.95
-116.6,37.73,50.9,2608.0,538.0,912.0,409.0,6.9108,0,6.3746,0.2064,2.2291,367616.72
-122.35,34.94,39.6,1512.0,261.0,417.0,192.0,9.2627,0,7.8799,0.1728,2.1731,500001.0
-124.29,36.64,11.7,1185.0,266.0,1322.0,542.0,4.5892,1,2.1878,0.2247,2.442,239737.25
-116.16,37.4,41.4,2098.0,321.0,1141.0,375.0,3.8264,2,5.5914,0.153,3.0411,249928.57
-117.25,33.45,17.4,3678.0,821.0,2314.0,1080.0,6.5031,2,3.4045,0.2232,2.1416,295584.47
-117.03,39.54,51.8,2184.0,523.0,172.0,71.0,4.0676,0,30.5714,0.2395,2.4014,361694.18
-116.61,33.57,20.2,1326.0,316.0,1547.0,753.0,4.6415,1,1.7615,0.2383,2.0558,264027.02
-123.61,36.35,15.9,8044.0,1828.0,602.0,205.0,7.9644,1,39.1616,0.2272,2.93,500001.0
-120.75,40.11,13.2,1159.0,282.0,3500.0,1152.0,2.4807,1,1.0054,0.2435,3.0374,117197.35
-123.19,36.94,34.6,674.0,149.0,769.0,266.0,5.1159,0,2.5381,0.2207,2.8973,229959.48
-115.68,40.46,6.6,1939.0,424.0,570.0,193.0,4.5569,0,10.0568,0.2187,2.9583,321935.12
-118.09,35.76,49.6,1512.0,231.0,706.0,326.0,4.2528,0,4.6422,0.1526,2.1687,240793.89
-121.03,41.55,16.0,3509.0,587.0,1725.0,550.0,6.3944,0,6.3755,0.1674,3.1343,356825.31
-123.71,34.51,16.1,1251.0,285.0,1914.0,885.0,2.3235,2,1.4133,0.2281,2.1629,166925.43
-121.23,32.9,3.3,1611.0,402.0,1075.0,461.0,3.233,0,3.4924,0.2498,2.3302,218838.49
-121.09,40.75,13.5,986.0,219.0,501.0,242.0,3.9258,3,4.0697,0.222,2.0687,277038.13
-117.02,39.62,22.4,3182.0,662.0,425.0,167.0,2.5446,2,19.035,0.208,2.5428,251378.15
-117.95,34.72,19.8,1999.0,337.0,1886.0,667.0,8.8655,1,2.9952,0.1683,2.825,438837.37
-115.44,41.81,14.9,1491.0,365.0,1667.0,801.0,3.5774,2,1.8615,0.2448,2.0815,165615.84
-119.61,37.27,3.1,1628.0,350.0,1523.0,459.0,13.4255,0,3.5452,0.215,3.3174,500001.0
-123.15,41.49,16.3,1781.0,354.0,3891.0,1882.0,3.8868,0,0.9467,0.1989,2.0678,178414.81
-117.19,37.29,40.7,661.0,156.0,581.0,247.0,3.3162,0,2.6756,0.2361,2.3532,136707.7
-116.71,36.98,23.4,4080.0,1001.0,5335.0,1773.0,7.4072,0,2.3012,0.2453,3.0091,362652.86
-118.71,36.77,15.8,3916.0,733.0,1436.0,515.0,3.1462,3,7.6023,0.1871,2.7885,213879.82
-116.61,35.69,16.5,1860.0,375.0,732.0,306.0,1.1679,2,6.0783,0.2016,2.3922,138836.08
-119.39,37.56,29.3,1726.0,279.0,1050.0,335.0,6.4082,0,5.1466,0.1615,3.1307,322358.02
-119.1,36.8,16.4,900.0,221.0,422.0,132.0,11.7763,2,6.8397,0.246,3.2105,500001.0
-120.06,32.89,33.2,6058.0,982.0,485.0,196.0,2.1846,0,30.9583,0.1621,2.4766,284241.11
-124.09,34.99,51.5,5114.0,1242.0,1002.0,307.0,6.1124,3,16.6413,0.2429,3.2605,500001.0
-123.27,34.55,3.1,2383.0,403.0,2041.0,927.0,8.5933,0,2.5702,0.1691,2.2017,336789.52
-124.03,40.7,9.6,3210.0,773.0,624.0,274.0,5.3078,0,11.7033,0.2409,2.276,315711.51
-117.96,38.18,10.1,4278.0,835.0,6121.0,2972.0,9.4475,3,1.4397,0.1952,2.0597,485600.82
-121.19,39.73,23.8,3712.0,776.0,1060.0,493.0,4.5419,1,7.529,0.2092,2.1499,199112.35
-119.24,41.54,3.1,993.0,152.0,677.0,212.0,3.2731,0,4.6871,0.1536,3.1979,205686.38
-115.24,38.6,25.4,1454.0,275.0,393.0,134.0,3.1706,1,10.8826,0.1894,2.9378,211689.65
-121.85,41.79,48.4,2509.0,500.0,723.0,246.0,6.2907,1,10.1995,0.1993,2.9402,382687.04
-120.23,35.47,1.6,2085.0,315.0,3477.0,1351.0,4.4523,1,1.5434,0.1509,2.5744,242913.08
-116.76,34.29,19.6,3063.0,662.0,4355.0,1783.0,4.0977,0,1.7181,0.2161,2.4431,176473.31
-122.05,36.34,39.8,2837.0,664.0,1792.0,704.0,7.4448,2,4.0322,0.2339,2.5474,355925.38
-123.58,36.97,8.9,2149.0,328.0,1147.0,396.0,9.2709,1,5.4242,0.1525,2.895,414029.69
-121.44,40.97,5.0,292.0,58.0,348.0,168.0,4.3174,0,1.7391,0.1993,2.0703,171665.31
-122.73,37.81,33.2,4109.0,630.0,140.0,43.0,2.8553,0,95.374,0.1534,3.2532,500001.0
-115.02,35.29,1.5,3253.0,772.0,1275.0,390.0,8.7937,0,8.3345,0.2373,3.2676,474701.98
-116.24,39.53,41.9,7696.0,1278.0,798.0,360.0,12.6509,3,21.3578,0.1661,2.2133,500001.0
-117.99,37.3,4.4,1294.0,202.0,708.0,253.0,2.6937,0,5.123,0.1559,2.8013,155413.6
-115.6,34.07,27.7,498.0,117.0,1507.0,676.0,3.734,0,0.736,0.2358,2.2285,151154.63
-116.28,37.97,38.7,1593.0,310.0,376.0,135.0,12.9321,0,11.7752,0.1945,2.7791,500001.0
-122.48,41.12,13.3,2489.0,397.0,3531.0,1459.0,4.3904,0,1.7063,0.1595,2.4202,186837.69
-115.39,40.47,6.3,1327.0,285.0,4866.0,2302.0,13.6521,1,0.5764,0.2148,2.1137,500001.0
-118.94,38.06,10.0,4723.0,1042.0,1904.0,643.0,4.5971,1,7.3482,0.2206,2.9629,283719.56
-116.24,36.09,44.6,1139.0,236.0,862.0,382.0,6.0126,0,2.9807,0.2068,2.255,244513.95
-115.35,33.36,37.0,1685.0,309.0,676.0,313.0,2.6072,2,5.3897,0.1832,2.1632,149411.98
-121.16,36.96,11.1,1522.0,293.0,857.0,424.0,1.7398,0,3.5901,0.1924,2.0212,100305.84
-123.25,39.62,37.5,12607.0,3095.0,1416.0,479.0,4.3721,1,26.3277,0.2455,2.9571,427174.5
-122.06,35.93,37.1,959.0,195.0,2458.0,984.0,5.5437,2,0.9747,0.2034,2.4986,292777.88
-120.06,34.76,51.9,2721.0,516.0,1572.0,564.0,6.8591,2,4.8232,0.1897,2.7871,387885.24
-116.14,41.3,21.0,780.0,172.0,3007.0,1164.0,10.3095,1,0.6699,0.2208,2.5831,469097.52
-115.71,40.27,45.1,2299.0,362.0,1706.0,534.0,4.1803,3,4.3017,0.1576,3.1918,249908.33
-124.28,38.55,23.8,927.0,166.0,2506.0,1200.0,5.8723,0,0.7725,0.179,2.0887,241731.18
-119.22,33.83,46.8,3905.0,674.0,1071.0,390.0,4.8097,2,10.0131,0.1726,2.746,343173.26
-120.16,33.9,5.7,3414.0,744.0,437.0,218.0,3.2249,2,15.6819,0.218,2.0089,333147.63
-122.12,33.51,9.9,2187.0,460.0,3070.0,1191.0,5.4774,1,1.8353,0.2104,2.5767,270073.25
-123.15,38.34,44.3,683.0,154.0,6299.0,2336.0,12.3345,1,0.2923,0.2259,2.6967,489491.81
-120.96,33.63,42.8,1742.0,336.0,1389.0,557.0,7.8126,1,3.1293,0.1927,2.495,399691.95
-114.88,40.47,16.6,1461.0,245.0,709.0,232.0,6.2585,0,6.2859,0.1674,3.049,303059.63
-121.11,41.88,31.4,3233.0,544.0,1602.0,752.0,3.5699,1,4.3022,0.1683,2.131,192641.08
-119.14,35.99,20.5,961.0,230.0,827.0,382.0,3.8996,0,2.5176,0.2392,2.1664,177213.37
-117.29,36.81,1.5,4058.0,639.0,1125.0,523.0,5.466,1,7.7644,0.1575,2.1521,297126.72
-120.7,39.24,2.3,3559.0,745.0,1173.0,449.0,6.571,2,7.919,0.2094,2.6112,436268.52
-114.59,41.36,3.8,691.0,120.0,598.0,222.0,4.6254,1,3.1058,0.1732,2.69,196256.68
-114.69,40.95,31.3,1550.0,266.0,617.0,303.0,4.9556,1,5.1092,0.1714,2.0335,339573.93
-121.82,33.08,15.2,1744.0,279.0,1035.0,428.0,2.8357,1,4.0731,0.1598,2.418,152980.35
-119.36,34.13,8.3,3656.0,906.0,936.0,447.0,4.2443,0,8.1755,0.2479,2.0931,242590.0
-121.33,39.64,49.0,1118.0,175.0,1730.0,609.0,5.5234,1,1.836,0.1561,2.8415,293620.7
-121.49,39.02,7.2,2091.0,345.0,1362.0,557.0,5.5238,0,3.7549,0.1648,2.4455,322153.21
-123.98,33.79,35.4,3902.0,728.0,1781.0,775.0,9.5764,1,5.0384,0.1865,2.2995,500001.0
-118.23,37.26,46.6,2156.0,422.0,980.0,313.0,3.2063,0,6.8846,0.1956,3.1285,248692.6
-119.3,39.89,9.4,493.0,121.0,575.0,274.0,4.375,1,1.7969,0.2451,2.0975,242962.82
-123.83,34.6,12.0,1279.0,223.0,476.0,185.0,12.3578,2,6.9195,0.1742,2.5751,500001.0
-121.55,40.74,30.3,3405.0,756.0,2420.0,1112.0,2.6991,0,3.0629,0.2221,2.177,169855.16
-115.23,33.04,26.9,3120.0,673.0,744.0,342.0,4.4767,2,9.1243,0.2156,2.175,236604.63
-121.94,39.9,27.6,374.0,76.0,661.0,288.0,11.1921,1,1.2979,0.2017,2.2921,500001.0
-122.9,38.33,29.3,2081.0,367.0,3052.0,1147.0,11.7305,0,1.8136,0.1766,2.6597,500001.0
-119.44,35.51,49.4,3506.0,581.0,800.0,330.0,4.9024,1,10.6226,0.1657,2.4254,359921.69
-114.45,39.32,3.7,2637.0,442.0,192.0,88.0,3.1792,0,29.8121,0.1677,2.1681,339628.4
-121.92,39.9,39.8,2857.0,527.0,1308.0,419.0,4.3765,1,6.8137,0.1846,3.1199,226632.86
-117.6,41.33,12.9,7659.0,1254.0,707.0,328.0,5.0797,0,23.3798,0.1637,2.1574,342950.73
-116.7,36.0,20.1,1754.0,438.0,615.0,220.0,4.9237,0,7.9779,0.2499,2.7982,276033.97
-121.96,39.0,5.6,2238.0,435.0,981.0,369.0,10.2744,2,6.0729,0.1946,2.6624,500001.0
-117.04,38.21,23.7,937.0,191.0,213.0,76.0,3.6229,0,12.3217,0.2039,2.8036,212812.27
-120.66,37.48,42.0,1159.0,245.0,248.0,123.0,6.3357,0,9.4251,0.2116,2.0143,280853.35
-118.0,40.92,6.0,1433.0,243.0,759.0,336.0,4.9638,1,4.2666,0.1696,2.2593,249811.43
-117.99,32.57,15.1,3277.0,650.0,1718.0,858.0,5.344,0,3.8185,0.1982,2.0016,262664.85
-118.97,35.19,20.0,1071.0,167.0,888.0,284.0,5.6355,1,3.7773,0.1563,3.1325,314409.71
-123.44,37.61,6.3,4291.0,1059.0,858.0,424.0,3.8024,2,10.1283,0.2469,2.0256,239169.11
-115.96,34.22,39.9,841.0,166.0,1095.0,378.0,8.2053,1,2.2246,0.1973,2.896,349516.12
-121.13,41.08,41.1,2829.0,433.0,2235.0,679.0,6.6678,1,4.1673,0.153,3.2924,326429.86
-122.48,38.63,43.6,2661.0,559.0,1132.0,388.0,6.6446,2,6.8516,0.2099,2.9135,428225.86
-123.94,37.04,30.8,2165.0,346.0,1053.0,355.0,3.3539,1,6.105,0.16,2.969,291886.75
-118.42,40.21,26.9,3602.0,825.0,703.0,316.0,11.3052,3,11.4044,0.229,2.2248,500001.0
-117.55,36.78,14.4,1075.0,264.0,803.0,349.0,5.5606,0,3.0823,0.2453,2.3023,246235.98
-124.18,37.8,34.4,1305.0,315.0,1266.0,470.0,4.1263,1,2.7775,0.2417,2.6944,140719.51
-119.21,32.57,23.7,921.0,178.0,3141.0,1059.0,3.1696,0,0.8702,0.1928,2.967,170105.63
